time,x,y,heading,speed
0,291.673179801644,-608.936220378556,0.575958653158078,7.22222222222222
0.05,291.976033062291,-608.739545171467,0.575958653158055,7.22222222222222
0.1,292.278886322938,-608.542869964379,0.575958653158094,7.22222222222222
0.15,292.581739583585,-608.34619475729,0.575958653158139,7.22222222222222
0.2,292.884592844232,-608.149519550201,0.575958653158177,7.22222222222222
0.25,293.187446104879,-607.952844343113,0.575958653158166,7.22222222222222
0.3,293.490299365526,-607.756169136024,0.575958653158155,7.22222222222222
0.35,293.793152626173,-607.559493928935,0.575958653158148,7.22222222222222
0.4,294.09600588682,-607.362818721846,0.575958653158148,7.22222222222222
0.45,294.398859147467,-607.166143514757,0.575958653158148,7.22222222222222
0.5,294.701712408114,-606.969468307669,0.575958653158127,7.22222222222222
0.55,295.004565668761,-606.77279310058,0.575958653158093,7.22222222222222
0.6,295.307418929408,-606.576117893491,0.575958653158058,7.22222222222222
0.65,295.610272190055,-606.379442686403,0.57595865315811,7.22222222222222
0.7,295.913125450701,-606.182767479314,0.575958653158178,7.22222222222222
0.75,296.215978711348,-605.986092272225,0.575958653158241,7.22222222222222
0.8,296.518831971995,-605.789417065136,0.575958653158206,7.22222222222222
0.85,296.821685232642,-605.592741858047,0.575958653158172,7.22222222222222
0.9,297.124538493289,-605.396066650959,0.575958653158141,7.22222222222222
0.95,297.427391753936,-605.19939144387,0.575958653158118,7.22222222222222
1,297.730245014583,-605.002716236781,0.575958653158094,7.22222222222222
1.05,298.03309827523,-604.806041029692,0.575958653158095,7.22222222222222
1.1,298.335951535877,-604.609365822604,0.575958653158119,7.22222222222222
1.15,298.638804796524,-604.412690615515,0.575958653158142,7.22222222222222
1.2,298.941658057171,-604.216015408426,0.575958653158156,7.22222222222222
1.25,299.244511317818,-604.019340201337,0.575958653158167,7.22222222222222
1.3,299.547364578465,-603.822664994248,0.575958653158178,7.22222222222222
1.35,299.850217839112,-603.62598978716,0.575958653158157,7.22222222222222
1.4,300.153071099759,-603.429314580071,0.575958653158134,7.22222222222222
1.45,300.455924360406,-603.232639372982,0.575958653158112,7.22222222222222
1.5,300.758777621053,-603.035964165893,0.575958653158088,7.22222222222222
1.55,301.0616308817,-602.839288958805,0.575958653158065,7.22222222222222
1.6,301.364484142347,-602.642613751716,0.575958653158073,7.22222222222222
1.65,301.667337402994,-602.445938544627,0.575958653158118,7.22222222222222
1.7,301.970190663641,-602.249263337538,0.575958653158164,7.22222222222222
1.75,302.273043924288,-602.05258813045,0.575958653158171,7.22222222222222
